last,lastSz,ts,askPx,askSz,bidPx,bidSz
1949.2,0.005781,1688354321814,1949.21,30.072512,1949.2,1.167923
1949.2,0.010711,1688354321950,1949.21,30.072512,1949.2,1.157212
1949.21,0.045673,1688354322206,1949.21,29.763549,1949.2,1.157212
1949.21,0.045673,1688354323354,1949.21,29.755048,1949.2,1.157212
1949.2,0.530987,1688354324035,1949.06,15.675798,1949.05,1.737408
1949.2,0.530987,1688354324158,1949.06,6.375482,1949.05,9.275778
1949.2,0.530987,1688354324405,1949.06,3.375482,1949.05,9.275778
1949.2,0.530987,1688354324512,1949.06,6.375482,1949.05,9.275778
1949.2,0.530987,1688354325208,1949.06,3.025652,1949.05,10.949308
1949.2,0.530987,1688354325309,1949.06,0.025652,1949.05,10.949308
1949.05,0.074532,1688354325564,1949.06,3.025652,1949.05,10.802954
1949.05,0.074532,1688354326367,1949.06,0.025652,1949.05,10.802954
1949.05,0.074532,1688354326813,1949.06,0.025652,1949.05,13.368452
1949.18,0.331548,1688354327426,1949.18,5.563472,1949.17,6.78575
1949.18,0.331548,1688354327568,1949.18,5.563472,1949.17,7.91675
1949.18,0.331548,1688354327706,1949.18,8.913302,1949.17,7.91675
1949.18,0.331548,1688354327812,1949.18,18.113302,1949.17,7.91675
1949.18,0.331548,1688354328568,1949.18,18.113302,1949.17,6.32475
1949.18,0.331548,1688354329269,1949.18,26.502074,1949.17,6.32475
1949.18,0.331548,1688354329506,1949.18,21.303632,1949.17,6.32475
1949.18,0.331548,1688354329713,1949.18,21.309938,1949.17,6.32475
1949.18,0.331548,1688354329867,1949.18,21.303632,1949.17,6.32475
1949.18,0.331548,1688354330468,1949.18,30.011082,1949.17,6.32475
1949.18,3,1688354331489,1949.18,27.011082,1949.17,6.32475
1949.18,1.813023,1688354331591,1949.18,17.117467,1949.17,6.32475
1949.18,1.813023,1688354333607,1949.18,18.561611,1949.17,5.62075
1949.18,1.813023,1688354335409,1949.18,24.196863,1949.17,0.427
1949.18,1.813023,1688354336312,1949.18,24.376863,1949.17,0.427
1949.18,1.813023,1688354337217,1949.18,24.78713,1949.17,0.427
1949.18,1.813023,1688354337372,1949.18,24.60713,1949.17,0.427
