last,lastSz,ts,askPx,askSz,bidPx,bidSz
112.89,2.545956,1688354321709,112.89,6.600128,112.88,46.185491
112.89,2.545956,1688354321949,112.89,19.600128,112.88,21.350556
112.89,2.545956,1688354322351,112.89,6.600128,112.88,21.350556
112.89,2.545956,1688354323154,112.89,6.600128,112.88,42.150563
112.89,2.545956,1688354323700,112.89,6.600128,112.88,46.708891
112.89,2.545956,1688354325846,112.89,6.600128,112.88,63.197566
112.89,4.478477,1688354326709,112.92,49.190669,112.88,63.197566
112.91,1.644358,1688354326810,112.92,11.942014,112.91,27.756485
112.91,0.544925,1688354326923,112.92,3.857014,112.91,32.446236
112.91,0.544925,1688354327056,112.92,3.857014,112.91,32.446236
112.91,0.544925,1688354327165,112.92,3.857014,112.91,49.932277
112.91,0.544925,1688354327609,112.92,3.857014,112.91,55.246244
112.91,0.544925,1688354327964,112.92,4.770687,112.91,55.246244
112.91,0.544925,1688354328175,112.92,4.770687,112.91,23.12387
112.91,0.544925,1688354328309,112.92,4.770687,112.91,28.01087
112.88,6.161603,1688354328674,112.88,49.606969,112.87,7.200288
112.88,6.161603,1688354328777,112.88,39.81789,112.87,3.400846
112.88,6.161603,1688354328909,112.88,26,112.86,24.670156
112.88,6.161603,1688354329009,112.87,0.913488,112.86,11.670156
112.88,6.161603,1688354329409,112.87,0.913488,112.86,22.226456
112.88,6.161603,1688354329565,112.87,0.911958,112.86,22.226456
112.87,0.90147,1688354329768,112.87,0.010488,112.86,26.545456
112.87,0.90147,1688354329891,112.88,34.880968,112.86,26.545456
112.87,0.90147,1688354329992,112.87,13,112.86,26.545456
112.87,0.90147,1688354330210,112.88,34.880968,112.86,26.545456
112.87,0.90147,1688354330365,112.88,34.880968,112.86,26.545456
112.87,0.90147,1688354330470,112.88,26,112.86,26.545456
112.87,0.90147,1688354330927,112.87,0.761705,112.86,26.545456
112.87,0.90147,1688354332409,112.87,0.761705,112.86,39.545456
112.87,0.90147,1688354332908,112.87,0.761705,112.86,26.545456
112.87,0.90147,1688354333164,112.87,13.761705,112.86,26.545456
112.87,0.90147,1688354333375,112.87,0.761705,112.86,26.545456
112.87,0.90147,1688354333600,112.87,0.761705,112.86,25.172456
112.87,0.90147,1688354334202,112.87,13.761705,112.86,25.172456
112.87,0.316861,1688354334410,112.87,13.444844,112.86,25.172456
112.88,2.14,1688354334553,112.89,17.300941,112.86,39.149477
112.88,2.14,1688354334804,112.89,13,112.86,39.149477
112.89,13.247194,1688354335010,112.89,6.087705,112.86,26.149477
112.89,13.247194,1688354335165,112.88,26,112.86,26.149477
112.89,13.247194,1688354335407,112.88,26,112.86,35.867665
112.89,13.247194,1688354335509,112.88,26,112.86,26.149477
112.89,13.247194,1688354335765,112.87,0.507922,112.86,26.149477
112.89,13.247194,1688354335879,112.87,0.507922,112.86,48.130912
112.89,13.247194,1688354336009,112.87,0.507922,112.86,41.913912
112.94,51.97406,1688354336764,112.91,13,112.9,6.74349
112.88,0.311967,1688354336882,112.91,13,112.88,43.288203
112.88,0.311967,1688354337009,112.91,13,112.89,15.489
112.88,0.311967,1688354337116,112.91,30.428871,112.89,22.854879
112.88,0.311967,1688354337217,112.91,30.428871,112.89,9.854879
112.88,0.311967,1688354337364,112.91,30.428871,112.89,7.365879
112.88,0.311967,1688354337486,112.91,30.428871,112.88,37.781263
112.88,0.311967,1688354337609,112.91,30.428871,112.88,60.299828
