last,lastSz,ts,askPx,askSz,bidPx,bidSz
30118.29,0.00368611,1688965513531,30118.29,0.06665678,30118.28,0.03161300
30118.29,0.00320484,1688965514215,30118.29,0.07185194,30118.28,0.10761300
30118.29,0.0164352,1688965515670,30118.29,0.09241674,30118.28,0.10263600
30118.29,0.00082441,1688965518116,30118.29,0.06160306,30118.28,0.10263600
30118.29,0.00085664,1688965518161,30118.29,0.06074642,30118.28,0.10263600
30118.29,0.00000033,1688965518164,30118.29,0.06074609,30118.28,0.10263600
30118.28,0.003318,1688965519252,30118.29,0.09734709,30118.28,0.09931800
30118.28,0.003318,1688965519252,30118.29,0.09734709,30118.28,0.09600000
30118.28,0.003364,1688965519252,30118.29,0.09734709,30118.28,0.09263600
30118.29,0.0009207,1688965520956,30118.29,0.07982539,30118.28,0.09600000
30118.28,0.0000332,1688965521523,30118.29,0.07982539,30118.28,0.09596680
30118.28,0.00031513,1688965523725,30118.29,0.07982539,30118.28,0.09565167
30118.29,0.00119035,1688965525658,30118.29,0.07863504,30118.28,0.09712407
30118.29,0.00460757,1688965526494,30118.29,0.07402747,30118.28,0.09712407
30118.29,0.00284,1688965526494,30118.29,0.07118747,30118.28,0.09712407
30118.29,0.00346706,1688965526494,30118.29,0.06772041,30118.28,0.09712407
30118.28,0.00000996,1688965529087,30118.29,0.10092241,30118.28,0.09711411
30118.29,0.00087812,1688965529544,30118.29,0.10004429,30118.28,0.09711411
30118.29,0.00029766,1688965530762,30118.29,0.08314563,30118.28,0.09711411
30118.29,0.00077669,1688965531090,30118.29,0.08236894,30118.28,0.09711411
30118.28,0.00033534,1688965531578,30118.29,0.08236894,30118.28,0.09677877
30118.29,0.00320486,1688965531953,30118.29,0.07916408,30118.28,0.09677877
30118.29,0.00034688,1688965532285,30118.29,0.07881720,30118.28,0.09677877
30118.29,0.03238785,1688965533781,30118.29,0.02982835,30118.28,0.09677877
30118.49,0.00014944,1688965534312,30118.49,0.00376705,30118.48,0.08780331
30118.49,0.00315556,1688965534445,30118.49,0.00061149,30118.48,0.08927571
30118.48,0.000416,1688965536716,30118.49,0.00061149,30118.48,0.10885971
30118.49,0.00008259,1688965537617,30118.49,0.00052890,30118.48,0.10885971
30118.49,0.00029766,1688965538409,30118.49,0.07021424,30118.48,0.10885971
30118.49,0.00005159,1688965539745,30118.49,0.05016265,30118.48,0.10885971
30118.48,0.00005836,1688965540386,30118.49,0.05016265,30118.48,0.10880135
30118.49,0.00017965,1688965541219,30118.49,0.06998300,30118.48,0.10880135
30118.49,0.00009616,1688965541219,30118.49,0.06988684,30118.48,0.10880135
30118.49,0.04988684,1688965542403,30118.49,0.10857834,30118.48,0.10880135
30118.49,0.00011316,1688965542403,30118.49,0.10846518,30118.48,0.10880135
30118.49,0.00003287,1688965542937,30118.49,0.09773716,30118.48,0.10880135
30118.49,0.00013248,1688965544651,30118.49,0.09760468,30118.48,0.10880135
30118.48,0.009,1688965545212,30118.49,0.09760468,30118.48,0.09980135
30118.49,0.00284493,1688965546067,30118.49,0.09475975,30118.48,0.15680135
