last,lastSz,ts,askPx,askSz,bidPx,bidSz
30154.97000000,0.00006000,1688961715686,30150.00000000,0.04975000,30143.73000000,0.00393000
30154.97000000,0.00006000,1688961716542,30159.97000000,0.02613000,30143.73000000,0.00393000
30154.97000000,0.00006000,1688961717576,30159.95000000,0.03658000,30143.73000000,0.00393000
30154.97000000,0.00006000,1688961718606,30159.93000000,0.02456000,30143.73000000,0.00393000
30154.97000000,0.00006000,1688961719689,30159.96000000,0.07593000,30143.73000000,0.00393000
30154.97000000,0.00006000,1688961720557,30159.97000000,0.03375000,30143.73000000,0.00393000
30154.97000000,0.00006000,1688961721685,30159.98000000,0.07593000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961722666,30159.98000000,0.07593000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961723683,30159.99000000,0.03550000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961724731,30159.99000000,0.02855000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961725047,30159.97000000,0.03508000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961726452,30159.97000000,0.04070000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961727679,30159.99000000,0.03396000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961728731,30160.00000000,0.04975000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961729723,30160.00000000,0.04975000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961730411,30159.97000000,0.03263000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961731353,30159.97000000,0.03653000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961732202,30159.96000000,0.03769000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961733715,30159.95000000,0.07593000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961734675,30159.98000000,0.07593000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961735537,30159.99000000,0.02693000,30143.73000000,0.00393000
30159.99000000,0.00006000,1688961736542,30159.99000000,0.02629000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961737778,30159.98000000,0.07593000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961738779,30159.97000000,0.07593000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961739568,30159.99000000,0.02946000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961740572,30159.99000000,0.03195000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961741234,30159.97000000,0.03224000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961742092,30159.93000000,0.02490000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961743646,30164.96000000,0.02530000,30139.59000000,0.02910000
30159.99000000,0.00006000,1688961744688,30164.96000000,0.02924000,30139.57000000,0.03646000
30159.99000000,0.00006000,1688961745752,30164.96000000,0.03500000,30139.57000000,0.00393000
30159.99000000,0.00006000,1688961746744,30164.98000000,0.00010000,30139.63000000,0.02668000
30159.99000000,0.00006000,1688961747688,30164.96000000,0.03265000,30139.58000000,0.02322000
30159.99000000,0.00006000,1688961748688,30164.92000000,0.03516000,30139.56000000,0.04184000
30159.99000000,0.00006000,1688961749825,30164.98000000,0.00010000,30139.56000000,0.03549000
30159.99000000,0.00006000,1688961750788,30164.96000000,0.03709000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961751842,30164.96000000,0.03270000,30139.56000000,0.03808000
30159.99000000,0.00006000,1688961752846,30160.00000000,0.04975000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961753835,30160.00000000,0.04975000,30139.56000000,0.02753000
30159.99000000,0.00006000,1688961754816,30159.99000000,0.00300000,30139.60000000,0.02392000
30159.99000000,0.00006000,1688961755416,30160.00000000,0.04975000,30139.56000000,0.03409000
30159.99000000,0.00006000,1688961758462,30159.99000000,0.00300000,30139.56000000,0.03409000
30159.99000000,0.00006000,1688961759439,30159.99000000,0.00300000,30139.59000000,0.02714000
30159.99000000,0.00006000,1688961760335,30159.99000000,0.00300000,30139.65000000,0.02633000
30159.99000000,0.00006000,1688961760656,30159.99000000,0.00300000,30139.67000000,0.02350000
30159.99000000,0.00006000,1688961762478,30159.99000000,0.00300000,30139.62000000,0.00800000
30159.99000000,0.00006000,1688961763456,30159.99000000,0.00300000,30139.55000000,0.00183000
30159.99000000,0.00006000,1688961764479,30159.99000000,0.00300000,30139.58000000,0.00393000
30159.99000000,0.00006000,1688961765129,30159.99000000,0.00300000,30139.56000000,0.03229000
30159.99000000,0.00006000,1688961766471,30159.99000000,0.00300000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961766725,30159.99000000,0.00300000,30139.56000000,0.02699000
30159.99000000,0.00006000,1688961768423,30159.99000000,0.00300000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961769497,30159.99000000,0.00300000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961770484,30159.99000000,0.00300000,30139.57000000,0.00800000
30159.99000000,0.00006000,1688961770883,30159.99000000,0.00300000,30139.60000000,0.00393000
30159.99000000,0.00006000,1688961772410,30159.99000000,0.00300000,30139.61000000,0.02597000
30159.99000000,0.00006000,1688961773458,30159.99000000,0.00300000,30139.56000000,0.00393000
30159.99000000,0.00006000,1688961774496,30159.99000000,0.00300000,30139.57000000,0.03205000
30159.99000000,0.00006000,1688961775262,30159.99000000,0.00300000,30139.57000000,0.02588000
30159.99000000,0.00006000,1688961776026,30159.99000000,0.00300000,30139.57000000,0.01193000
30159.99000000,0.00012000,1688961782393,30159.99000000,0.00294000,30139.57000000,0.01193000
30159.99000000,0.00012000,1688961782440,30159.99000000,0.00300000,30139.57000000,0.01193000
