last,lastSz,ts,askPx,askSz,bidPx,bidSz
1860.62,0.006,1688965513917,1860.62,26.864,1860.61,27.133599
1860.62,0.006,1688965515580,1860.62,26.864,1860.61,20.359199
1860.62,0.006,1688965515807,1860.62,26.864,1860.61,27.133599
1860.62,0.006,1688965518646,1860.62,26.864,1860.61,17.122249
1860.62,0.006,1688965518794,1860.62,29.02141,1860.61,17.122249
1860.62,0.006,1688965519507,1860.62,29.02141,1860.61,23.896651
1860.62,0.006,1688965521852,1860.62,29.02141,1860.61,17.122249
1860.62,0.006,1688965522758,1860.62,29.02141,1860.61,23.896658
1860.62,0.006,1688965523157,1860.62,29.02141,1860.61,17.122249
1860.62,0.000258,1688965523360,1860.62,29.021152,1860.61,17.122249
1860.61,0.025427,1688965524962,1860.62,29.021152,1860.61,17.096822
1860.62,0.006,1688965525406,1860.62,29.015152,1860.61,17.096822
1860.61,0.017,1688965527566,1860.62,29.015152,1860.61,17.079822
1860.61,0.017,1688965527673,1860.62,29.015152,1860.61,17.079822
1860.62,0.81,1688965531707,1860.62,28.205152,1860.61,17.079822
1860.62,0.81,1688965534263,1860.62,26.047742,1860.61,28.374002
1860.62,0.81,1688965534379,1860.62,26.047742,1860.61,29.143698
1860.62,0.81,1688965534606,1860.62,26.047742,1860.61,28.374002
1860.62,0.81,1688965536307,1860.62,26.047742,1860.61,21.591176
1860.62,0.81,1688965536524,1860.62,26.047742,1860.61,27.091176
1860.62,0.81,1688965536675,1860.62,26.047742,1860.61,28.365585
1860.62,0.006,1688965538827,1860.62,26.041742,1860.61,28.365585
1860.62,0.006,1688965541506,1860.62,26.041742,1860.61,22.865585
1860.62,0.006,1688965541722,1860.62,26.041742,1860.61,28.365585
1860.62,0.006,1688965549269,1860.62,26.035742,1860.61,28.365585
1860.62,0.006,1688965549378,1860.62,26.035742,1860.61,28.365585
1860.62,0.006,1688965550574,1860.62,27.214672,1860.61,25.128635
1860.62,0.006,1688965552107,1860.62,26.035742,1860.61,28.365585
1860.62,0.006,1688965554630,1860.62,27.128762,1860.61,25.128635
1860.62,0.006,1688965556905,1860.62,26.035742,1860.61,25.128635
1860.62,0.006,1688965558374,1860.62,26.035742,1860.61,36.337442
1860.62,0.006,1688965558607,1860.62,26.035742,1860.61,41.623609
1860.62,0.006,1688965559105,1860.62,26.035742,1860.61,40.8488
1860.62,0.006,1688965559307,1860.62,26.035742,1860.61,28.365585
1860.62,0.006,1688965560125,1860.62,26.035742,1860.61,28.365585
1860.62,0.006,1688965562607,1860.62,26.035742,1860.61,22.865585
1860.62,0.006,1688965564007,1860.62,26.035742,1860.61,28.365585
1860.62,0.006,1688965564144,1860.62,26.044025,1860.61,28.365585
1860.62,0.006,1688965567307,1860.62,26.078025,1860.61,28.365585
1860.62,0.006,1688965568605,1860.62,26.078025,1860.61,39.504385
1860.62,0.026047,1688965569041,1860.62,26.051978,1860.61,39.504385
1860.62,0.026047,1688965569169,1860.62,26.051978,1860.61,39.504385
1860.61,0.15045,1688965569512,1860.62,27.381428,1860.61,36.116985
1860.61,0.15045,1688965570106,1860.62,27.381428,1860.61,30.616985
1860.61,0.15045,1688965570207,1860.62,27.381428,1860.61,37.391388
1860.61,0.15045,1688965572108,1860.62,26.051978,1860.61,41.902743
1860.61,0.0075,1688965572607,1860.62,44.647726,1860.61,15.981993
1860.62,2.83938,1688965572858,1860.62,31.437323,1860.61,15.981993
1860.62,2.83938,1688965572990,1860.62,34.182313,1860.61,9.117593
1860.62,2.83938,1688965573106,1860.62,34.182313,1860.61,6.117593
1860.62,2.83938,1688965573607,1860.62,33.418708,1860.61,9.117593
1860.61,0.0075,1688965574706,1860.62,33.418708,1860.61,9.110093
1860.61,0.0075,1688965576410,1860.62,41.62565,1860.61,6.110093
1860.61,0.0075,1688965576775,1860.62,41.62565,1860.61,6.102593
1860.61,0.0075,1688965576876,1860.62,41.62565,1860.61,6.102593
1860.61,0.821438,1688965576977,1860.62,41.62565,1860.61,5.388646
1860.61,0.821438,1688965577106,1860.62,41.62565,1860.61,5.388646
1860.61,3.934645,1688965577207,1860.62,47.421354,1860.61,0.107491
1860.61,3.934645,1688965577352,1860.62,46.345774,1860.61,0.107491
1860.61,3.934645,1688965578492,1860.62,38.138832,1860.61,0.107491
1860.61,3.934645,1688965580308,1860.62,38.138832,1860.61,4.381892
1860.61,3.934645,1688965580413,1860.62,33.418708,1860.61,25.680802
1860.61,0.014599,1688965580687,1860.62,33.418708,1860.61,25.666203
1860.61,0.014599,1688965580788,1860.62,33.418708,1860.61,25.666203
1860.61,0.014599,1688965581107,1860.62,33.418708,1860.61,20.166203
1860.61,0.014599,1688965583712,1860.62,33.418708,1860.61,25.666203
1860.61,0.014599,1688965586014,1860.62,33.418708,1860.61,20.166203
1860.61,0.014599,1688965586468,1860.62,34.770708,1860.61,20.166203
1860.62,1.01,1688965587017,1860.62,33.760708,1860.61,25.666203
1860.62,1.01,1688965587706,1860.62,33.760708,1860.61,20.166203
1860.62,1.01,1688965589025,1860.62,33.760708,1860.61,25.666203
1860.62,1.01,1688965589829,1860.62,33.760708,1860.61,20.166203
1860.62,1.01,1688965590139,1860.62,33.760708,1860.61,25.666203
1860.62,1.01,1688965591089,1860.62,33.760708,1860.61,20.166203
1860.62,1.01,1688965591634,1860.62,31.015718,1860.61,25.666203
1860.62,1.01,1688965591893,1860.62,31.015718,1860.61,26.940611
1860.62,1.01,1688965592105,1860.62,31.015718,1860.61,28.453565
1860.62,1.01,1688965592436,1860.62,28.015718,1860.61,28.453565
1860.65,0.836252,1688965594790,1860.65,0.739012,1860.61,27.731742
1860.65,0.738999,1688965594897,1860.65,0.000013,1860.64,86.093571
1860.67,0.5715,1688965595006,1860.8,0.05,1860.66,145.208662
1860.67,0.5715,1688965595107,1860.8,0.05,1860.79,106.100199
1860.67,0.5715,1688965595208,1860.8,7.63804,1860.79,113.489019
1860.67,0.5715,1688965596354,1860.8,8.39304,1860.79,113.489019
1860.67,0.5715,1688965596557,1860.8,0.805,1860.79,113.489019
1860.67,0.5715,1688965596905,1860.8,0.805,1860.79,114.564599
1860.8,0.004014,1688965597259,1860.8,0.800986,1860.79,115.780599
1860.8,0.004014,1688965597360,1860.8,0.800986,1860.79,114.705019
1860.8,0.004014,1688965597563,1860.8,0.800986,1860.79,115.780599
1860.8,0.004014,1688965597772,1860.8,0.800986,1860.79,114.705019
1860.8,0.004014,1688965599862,1860.8,0.800986,1860.79,115.780599
1860.8,0.004014,1688965600174,1860.8,0.800986,1860.79,114.705019
1860.8,0.004014,1688965600277,1860.8,0.800986,1860.79,115.780599
1860.8,0.004014,1688965600384,1860.8,0.800986,1860.79,114.705019
1860.8,0.004014,1688965600606,1860.8,0.800986,1860.79,115.780599
1860.8,0.004014,1688965601078,1860.8,0.800986,1860.79,114.705019
1860.8,0.004014,1688965601306,1860.8,0.800986,1860.79,115.780599
1860.8,0.004014,1688965601461,1860.8,0.800986,1860.79,114.705019
1860.8,0.004014,1688965602262,1860.8,0.800986,1860.79,115.780599
1860.8,0.004014,1688965602585,1860.8,0.800986,1860.79,114.705019
1860.8,0.004014,1688965603007,1860.8,0.800986,1860.79,106.508779
1860.8,0.004014,1688965603154,1860.8,0.800986,1860.79,115.182546
1860.8,0.004014,1688965603386,1860.8,0.800986,1860.79,106.508779
1860.8,0.004014,1688965604108,1860.8,0.800986,1860.79,107.584359
1860.8,0.004014,1688965604495,1860.8,0.800986,1860.79,120.004092
1860.8,0.004014,1688965604602,1860.8,0.800986,1860.79,121.079672
