last,lastSz,ts,askPx,askSz,bidPx,bidSz
1860.67,0.02133478,1688965511340,1860.67,1.04603514,1860.66,3.14421420
1860.67,0.00314254,1688965517463,1860.67,1.04289260,1860.66,2.68867110
1860.67,0.00016954,1688965521416,1860.67,1.04272306,1860.66,1.91356422
1860.67,0.04272306,1688965530350,1860.67,1.51026348,1860.66,1.91496157
1860.67,0.00965907,1688965530350,1860.67,1.50060441,1860.66,1.91496157
1860.67,0.00569311,1688965532016,1860.67,1.49491130,1860.66,1.91496157
1860.67,0.2,1688965533880,1860.67,1.29491130,1860.66,1.91496157
1860.66,0.00248093,1688965534303,1860.67,1.29491130,1860.66,1.91248064
1860.67,0.02409982,1688965534894,1860.67,1.27081148,1860.66,1.91248064
1860.67,0.00787378,1688965535231,1860.67,1.26293770,1860.66,1.91248064
1860.67,0.00011659,1688965536062,1860.67,1.26282111,1860.66,1.91248064
1860.67,0.00053475,1688965537872,1860.67,1.42351936,1860.66,1.91248064
1860.67,0.07674526,1688965541729,1860.67,1.34677410,1860.66,1.91248064
1860.67,0.00037078,1688965545443,1860.67,1.51986141,1860.66,1.91248064
1860.67,0.57995238,1688965546088,1860.67,0.93990903,1860.66,1.58248064
1860.67,0.01334469,1688965546265,1860.67,0.72654325,1860.66,1.58248064
1860.67,0.00000537,1688965546295,1860.67,0.72653788,1860.66,1.58248064
1860.67,0.01632454,1688965549505,1860.67,0.78284462,1860.66,1.58248064
1860.67,0.06527986,1688965549863,1860.67,0.64493348,1860.66,1.58248064
1860.67,0.066446,1688965549863,1860.67,0.57848748,1860.66,1.58248064
1860.67,0.00845659,1688965550294,1860.67,0.57003089,1860.66,1.58248064
1860.67,0.01756351,1688965550645,1860.67,2.31738981,1860.66,1.58248064
1860.67,0.02038621,1688965551455,1860.67,0.11428379,1860.66,1.65327422
1860.66,0.03256909,1688965559488,1860.67,0.11428379,1860.66,1.97672886
1860.67,0.01121148,1688965560070,1860.67,1.10307231,1860.66,1.97672886
1860.67,0.0095772,1688965561642,1860.67,1.09349511,1860.66,4.45068683
1860.67,0.03743275,1688965563072,1860.67,1.35916536,1860.66,4.40885509
1860.67,0.02536912,1688965565221,1860.67,1.80720972,1860.66,3.98203778
1860.67,0.01785717,1688965565411,1860.67,1.78935255,1860.66,3.98203778
1860.67,0.01283607,1688965565761,1860.67,1.77651648,1860.66,3.98203778
1860.67,0.00685571,1688965565761,1860.67,1.76966077,1860.66,3.98203778
1860.67,0.00989829,1688965566375,1860.67,1.75976248,1860.66,3.98203778
1860.66,0.0506704,1688965569818,1860.67,1.61208900,1860.66,4.54823257
1860.67,0.39318509,1688965573252,1860.67,1.77737175,1860.66,3.93136738
1860.67,0.01005426,1688965574669,1860.67,1.72205872,1860.66,3.93136738
1860.66,0.02685652,1688965580353,1860.67,1.37268629,1860.66,3.59574386
1860.67,0.02567352,1688965580970,1860.67,1.02194313,1860.66,4.58312687
1860.67,0.10678573,1688965583798,1860.67,0.91515740,1860.66,4.10910819
1860.67,0.05161576,1688965584249,1860.67,0.86354164,1860.66,4.10910819
1860.67,0.00246879,1688965588168,1860.67,1.02230585,1860.66,4.89910819
1860.67,0.03850761,1688965588730,1860.67,0.98379824,1860.66,4.89910819
1860.67,0.35495524,1688965594744,1860.67,0.46761000,1860.66,11.37001593
1860.67,0.14187,1688965594744,1860.67,0.32574000,1860.66,11.37001593
1860.67,0.32574,1688965594744,1860.69,0.16123300,1860.66,11.37001593
1860.69,0.161233,1688965594744,1860.70,0.13436100,1860.66,11.37001593
1860.7,0.134361,1688965594744,1860.72,0.16123300,1860.66,11.37001593
1860.72,0.161233,1688965594744,1860.73,1.16797858,1860.66,11.37001593
1860.73,1.16797858,1688965594744,1860.74,0.60300000,1860.66,11.37001593
1860.74,0.603,1688965594744,1860.75,1.34363092,1860.66,11.37001593
1860.75,1.34363092,1688965594744,1860.77,0.49924516,1860.66,11.37001593
1860.77,0.33801216,1688965594744,1860.77,0.16123300,1860.66,11.37001593
1860.77,0.161233,1688965594754,1860.79,0.80610950,1860.66,11.68706135
1860.79,0.144867,1688965594754,1860.79,0.66124250,1860.66,11.68706135
1860.79,0.5,1688965594755,1860.79,0.16124250,1860.71,1.55206000
1861.11,0.00620101,1688965595656,1861.11,0.15499699,1861.00,0.16119900
1861.07,0.30669,1688965600585,1861.08,0.06954972,1861.07,0.45634813
1861.07,0.134328,1688965600585,1861.08,0.06954972,1861.07,0.32202013
1861.07,0.16082713,1688965600585,1861.08,0.06954972,1861.07,0.16119300
1861.07,0.161193,1688965600585,1861.08,0.06954972,1861.04,0.16119600
1861.04,0.161196,1688965600585,1861.08,0.06954972,1861.00,0.02526128
1861,0.02526128,1688965600585,1861.08,0.06954972,1860.94,0.38686500
1860.94,0.386865,1688965600585,1861.08,0.06954972,1860.93,0.22964550
1860.93,0.2296455,1688965600585,1861.08,0.06954972,1860.92,0.92191182
1860.92,0.92191182,1688965600585,1861.08,0.06954972,1860.89,0.48856531
1860.89,0.03182811,1688965600585,1861.08,0.06954972,1860.89,0.45673720
1861.05,0.0040113,1688965600756,1861.05,0.15719370,1860.90,0.40000000
1861.08,0.06954972,1688965604572,1861.15,0.13433000,1861.07,0.21411000
1861.15,0.06481247,1688965604572,1861.15,0.06951753,1861.07,0.21411000
1861.2,0.00534754,1688965604668,1861.20,0.31169788,1861.08,0.45671600
1861.13,0.11702631,1688965605193,1861.13,0.04417169,1861.09,0.16119200
1861.03,0.01749133,1688965605833,1861.16,0.16119800,1861.03,0.11683967
1861.02,0.01101377,1688965608137,1861.02,0.46723565,1860.96,0.16120300
1860.98,0.00506175,1688965609858,1860.98,0.15614625,1860.91,0.16120900
1860.99,0.04993049,1688965610304,1860.99,0.11127751,1860.91,0.16120900
1860.99,0.00223742,1688965610307,1860.99,0.10904009,1860.91,0.16120900
1860.91,0.00736821,1688965610534,1860.99,0.40512092,1860.91,0.15384079
1860.99,0.02500787,1688965613041,1860.99,0.13620213,1860.87,0.73121000
1860.87,0.01372614,1688965613550,1860.98,0.16121000,1860.87,0.71748386
1860.96,0.16121,1688965615099,1860.98,0.16121000,1860.90,0.13434200
1860.98,0.16121,1688965615099,1861.00,0.03337766,1860.90,0.13434200
1861,0.03337766,1688965615099,1861.01,0.75904542,1860.90,0.13434200
1861.01,0.442,1688965615099,1861.01,0.31704542,1860.90,0.13434200
1861.01,0.31704542,1688965615099,1861.04,0.80604865,1860.90,0.13434200
1861.04,0.80604865,1688965615099,1861.05,1.34341431,1860.90,0.13434200
1861.05,1.34341431,1688965615099,1861.10,0.38690300,1860.90,0.13434200
1861.1,0.386903,1688965615099,1861.11,0.49854833,1860.90,0.13434200
1861.11,0.49854833,1688965615099,1861.13,0.28866702,1860.90,0.13434200
1861.13,0.28866702,1688965615099,1861.15,0.80595470,1860.90,0.13434200
1861.15,0.8059547,1688965615099,1861.16,1.21584321,1860.90,0.13434200
1861.16,0.40443741,1688965615099,1861.16,0.81140580,1860.90,0.13434200
1861.04,0.00481813,1688965615361,1861.04,0.72768187,1860.92,0.32241200
1861.03,0.00479299,1688965615988,1861.03,0.15641201,1860.94,0.13433800
1861.02,0.03228966,1688965616710,1861.02,0.12891834,1860.89,0.29554800
1861.01,0.04482963,1688965618114,1861.01,0.11637837,1860.91,0.31525259
1861.03,0.05160106,1688965618545,1861.03,1.19104581,1860.94,0.16120600
1861.03,0.00058025,1688965620202,1861.03,1.19046556,1860.98,0.16120400
1860.99,0.00825084,1688965620920,1860.99,0.15295816,1860.88,0.16120900
1860.91,0.02442406,1688965622356,1860.99,0.16120900,1860.91,0.27112494
1860.99,0.0016129,1688965626715,1860.99,0.15959710,1860.92,0.13434000
1861.05,0.00213865,1688965630619,1861.05,0.15906535,1860.99,0.28818364
1861.05,0.00534659,1688965633173,1861.05,0.15585641,1860.97,0.16120300
1860.94,0.38366829,1688965636000,1860.94,2.04584295,1860.93,3.21049980
1860.94,0.02566883,1688965636033,1860.94,2.02017412,1860.93,3.21049980
1860.94,0.05160689,1688965636899,1860.94,1.89716024,1860.93,3.21049980
1860.93,0.00408166,1688965639529,1860.94,0.80604425,1860.93,3.34075914
1860.94,0.0255397,1688965641752,1860.94,0.78050455,1860.93,2.56484080
1860.94,0.02566883,1688965644101,1860.94,0.75483572,1860.93,2.56484080
1860.94,0.00102099,1688965645752,1860.98,0.80602974,1860.94,1.86029753
1860.98,0.00000537,1688965645924,1860.98,0.80602437,1860.94,1.91408213
1860.94,0.0748413,1688965648512,1860.94,2.02045761,1860.93,2.48486995
1860.93,0.34785055,1688965650363,1860.94,2.02045761,1860.93,2.13701940
1860.94,0.00157162,1688965650812,1860.94,2.01888599,1860.93,2.13701940
1860.94,0.0045869,1688965651006,1860.94,2.01429909,1860.93,2.13701940
1860.94,0.01497628,1688965651264,1860.94,1.99932281,1860.93,2.13701940
1860.94,0.0256698,1688965652940,1860.94,1.97365301,1860.93,2.13701940
1860.94,0.00481743,1688965653434,1860.94,1.96883558,1860.93,2.13701940
1860.94,0.05357016,1688965654045,1860.94,1.91526542,1860.93,2.13701940
1860.94,0.02526949,1688965654642,1860.94,1.83250994,1860.93,2.13701940
1860.94,0.01756078,1688965654871,1860.94,1.81494916,1860.93,2.13701940
1860.94,0.0267338,1688965655106,1860.94,1.73328669,1860.93,2.13701940
1860.94,0.02766876,1688965655850,1860.94,1.70561793,1860.93,2.13701940
1860.94,0.00802014,1688965658166,1860.94,1.69759779,1860.93,2.13701940
1860.93,0.00032242,1688965667669,1860.94,2.69322749,1860.93,2.35929895
1860.94,0.80604425,1688965667961,1860.94,1.88718324,1860.93,2.35929895
1860.94,0.07941441,1688965667961,1860.94,1.80776883,1860.93,2.35929895
1860.94,0.00989685,1688965671421,1860.94,0.51768874,1860.93,2.35929895
1860.93,0.01216182,1688965673283,1860.94,0.51768874,1860.93,2.50834613
1860.93,0.27052512,1688965674005,1860.94,0.51768874,1860.93,2.07661201
1860.94,0.02926473,1688965676169,1860.94,0.48842401,1860.93,2.07661201
1860.94,0.02022091,1688965677870,1860.94,0.59047344,1860.93,2.07661201
1860.93,0.40253325,1688965678776,1860.94,0.95104616,1860.93,1.67407876
1860.93,0.03586352,1688965680911,1860.94,0.53367781,1860.93,1.63821524
1860.94,0.00855971,1688965681621,1860.94,0.54175436,1860.93,1.65165524
1860.94,0.45964339,1688965684523,1860.94,0.55759444,1860.93,1.65904043
1860.94,0.49691066,1688965684523,1860.94,0.06068378,1860.93,1.65904043
1860.94,0.06068378,1688965684523,1860.96,0.80603662,1860.93,1.65904043
1860.96,0.80603662,1688965684523,1861.07,2.68671380,1860.93,1.65904043
1861.07,0.03830854,1688965685416,1861.07,1.30508772,1861.06,0.57177546
1861.07,0.00267331,1688965685436,1861.07,1.30241441,1861.06,0.57177546
1861.03,0.0004513,1688965694632,1861.03,0.94301222,1861.02,0.12648532
1861.03,0.00062557,1688965695126,1861.03,0.94238665,1861.02,0.12648532
1861.03,0.15346285,1688965696532,1861.03,0.78892380,1861.02,0.12648532
1861.03,0.0356486,1688965696943,1861.03,0.75327520,1861.02,0.12648532
1861.03,0.04405349,1688965700529,1861.03,0.70922171,1861.02,0.12648532
1861.03,0.00544997,1688965700529,1861.03,0.70377174,1861.02,0.12648532
1861.03,0.00832474,1688965701539,1861.03,1.08112293,1861.02,0.12648532
1861.03,0.152057,1688965702938,1861.03,0.92906593,1861.02,0.12648532
1861.03,0.33573755,1688965702938,1861.03,0.59332838,1861.02,0.12648532
1861.02,0.01891,1688965705420,1861.03,0.46859179,1861.02,0.10757532
1861.02,0.10757532,1688965705420,1861.03,0.46859179,1861.00,0.17267300
1861,0.01147,1688965705420,1861.03,0.46859179,1861.00,0.16120300
1861,0.161203,1688965705420,1861.03,0.46859179,1860.99,0.16120100
1860.99,0.161201,1688965705420,1861.03,0.46859179,1860.94,0.13433700
1860.94,0.134337,1688965705420,1861.03,0.46859179,1860.93,0.24342716
1860.93,0.10465197,1688965705420,1861.03,0.46859179,1860.93,0.13877519
1860.93,0.10749171,1688965705420,1861.03,0.46859179,1860.93,0.03128348
1860.99,0.0053465,1688965707806,1860.99,0.03816675,1860.97,0.16120600
1860.98,0.0544356,1688965713475,1861.06,0.29553800,1860.98,0.10676840
1861,0.0005886,1688965719870,1861.00,0.16061640,1860.98,0.32241000
1860.98,0.161205,1688965720413,1861.01,0.34005302,1860.98,0.16120400
1860.98,0.03108407,1688965720413,1861.01,0.34005302,1860.98,0.13011993
1861.02,0.00481728,1688965725807,1861.02,0.15638572,1860.99,0.56864399
1861.05,0.01336647,1688965726833,1861.05,0.14783453,1860.99,0.56864399
1861.06,0.161201,1688965728726,1861.07,123.80244424,1860.98,0.32240700
1861.07,0.11819509,1688965728726,1861.07,123.68424915,1860.98,0.32240700
1860.98,0.00542725,1688965729225,1861.06,0.16120200,1860.98,0.31697975
1861.04,0.01871306,1688965731107,1861.04,0.14248894,1861.02,0.16120100
1861.04,0.00827199,1688965734949,1861.04,0.15293001,1860.98,0.16120300
1861.05,0.00106932,1688965735052,1861.05,0.29438553,1860.98,0.16120300
1861.06,0.01194667,1688965735813,1861.06,0.40541165,1861.03,0.16120000
1861.06,0.00267319,1688965739786,1861.06,0.56393946,1861.03,0.21558334
1861,0.0000806,1688965740950,1861.04,0.39542343,1861.00,0.21784120
1861.04,0.00261877,1688965741734,1861.04,0.39280466,1861.00,0.21784120
1861.03,0.00053464,1688965746188,1861.03,0.21507691,1861.01,0.21967720
1861.03,0.05387491,1688965746687,1861.03,0.16120200,1861.01,0.21967720
1861.03,0.161202,1688965746687,1861.04,0.39280466,1861.01,0.21967720
1861.04,0.04699599,1688965746687,1861.04,0.34580867,1861.01,0.21967720
1861.04,0.05348893,1688965750242,1861.04,0.45352274,1861.00,0.12188167
1861.04,0.04553051,1688965751979,1861.04,0.24678923,1861.00,0.12188167
1861.01,0.00882636,1688965754260,1861.04,0.24678923,1861.01,0.22254481
1861.04,0.01576874,1688965754912,1861.04,0.39222249,1861.00,0.28776121
1861.07,0.00481717,1688965758598,1861.07,123.04243198,1861.02,0.23838084
1861,0.00144127,1688965769030,1861.01,2.01975377,1861.00,0.14593049
1861.01,0.01595856,1688965774725,1861.01,2.00379621,1861.00,0.14593049
1861.01,0.00421321,1688965777717,1861.01,1.99958300,1861.00,0.14593049
1861.01,0.00481725,1688965780783,1861.01,2.20915575,1861.00,0.14593049
1861.01,0.00139691,1688965782463,1861.01,2.20775884,1861.00,0.14593049
1861.01,0.00000537,1688965782494,1861.01,2.20775347,1861.00,0.14593049
1861.01,0.00989648,1688965782704,1861.01,2.03665199,1861.00,0.14593049
1861.01,0.05346559,1688965787903,1861.01,1.93014857,1861.00,2.57210458
1861.01,0.00481725,1688965791637,1861.01,0.46302469,1861.00,2.81231019
1861.01,0.21439,1688965798734,1861.01,0.17931000,1861.00,3.04811015
1861.01,0.17931,1688965798734,1861.03,0.16120300,1861.00,3.04811015
1861.03,0.161203,1688965798734,1861.04,0.16120300,1861.00,3.04811015
1861.04,0.03526006,1688965798734,1861.04,0.12594294,1861.00,3.04811015
1861.05,0.00001074,1688965798765,1861.05,0.13432426,1861.02,0.16120100
1861.03,0.0000806,1688965801795,1861.04,0.61655315,1861.03,0.33712850
1861.04,0.06611849,1688965802747,1861.04,0.71163566,1861.03,0.33712850
1861.03,0.12445505,1688965806916,1861.04,0.79551866,1861.03,0.24573269
1861.03,0.05397685,1688965806916,1861.04,0.79551866,1861.03,0.19175584
1861.06,0.01005215,1688965812821,1861.06,1.74095568,1861.04,0.32239900
1861.06,0.00053999,1688965814854,1861.06,1.24724569,1861.05,0.16119900
1861.06,0.01256942,1688965816733,1861.06,0.75370044,1861.05,0.92843223
1861.06,0.01256942,1688965817280,1861.06,0.60679902,1861.05,0.92843223
1861.06,0.02566842,1688965818308,1861.06,0.71546260,1861.05,0.92843223
1861.06,0.01256942,1688965820523,1861.06,0.70289318,1861.05,0.92843223
1861.06,0.02566814,1688965821075,1861.06,0.67722504,1861.05,1.08963123
1861.06,0.01256942,1688965822431,1861.06,0.53032362,1861.05,1.08963123
1861.06,0.00989622,1688965823207,1861.06,0.52042740,1861.05,1.08963123
1861.06,0.00561212,1688965824296,1861.06,0.51481528,1861.05,1.08963123
1861.05,0.17784446,1688965829038,1861.06,0.51481528,1861.05,0.92184023
1861.05,0.47589118,1688965831197,1861.06,0.51481528,1861.05,0.44594905
1861.05,0.11349759,1688965831197,1861.06,0.51481528,1861.05,0.33245146
1861.05,0.01005346,1688965831197,1861.06,0.51481528,1861.05,0.32239800
1861.05,0.161199,1688965831197,1861.06,0.51481528,1861.05,0.16119900
1861.05,0.15281455,1688965831197,1861.06,0.51481528,1861.05,0.00838445
1861.05,0.05958427,1688965831220,1861.05,0.11569457,1861.04,0.29507694
1861.04,0.00201288,1688965834879,1861.06,0.84850428,1861.04,0.45426406
1861.04,0.1387597,1688965835941,1861.05,1.78000333,1861.04,0.31550436
1861.05,0.01931289,1688965836274,1861.05,1.76069044,1861.04,0.47670436
1861.05,0.06316986,1688965836373,1861.05,0.56765058,1861.04,0.47670436
1861.05,0.24151858,1688965839614,1861.05,0.46046500,1861.04,0.15430436
1861.05,0.01336611,1688965843331,1861.05,0.43303090,1861.04,0.31550436
1861.05,0.00534644,1688965843451,1861.05,0.27985057,1861.04,0.31550436
1861.05,0.00165506,1688965843700,1861.05,0.27819551,1861.04,0.31550436
1861.05,0.00002149,1688965844182,1861.05,0.97444098,1861.04,0.31550436
1861.05,0.10668413,1688965846170,1861.05,1.02895685,1861.04,0.36929144
1861.04,0.15430436,1688965846214,1861.05,1.02895685,1861.04,0.21498708
1861.04,0.1612,1688965846214,1861.05,1.02895685,1861.04,0.05378708
1861.04,0.05378708,1688965846214,1861.05,1.02895685,1861.02,0.16120000
1861.02,0.03070856,1688965846214,1861.05,1.02895685,1861.02,0.13049144
1861.04,0.00053464,1688965846363,1861.04,0.18734628,1861.01,0.82499970
1861.03,0.00160393,1688965846654,1861.03,0.48064714,1861.01,0.82499970
1861.02,0.11939561,1688965848073,1861.04,0.34854728,1861.02,0.35055013
1861.04,0.161201,1688965849568,1861.04,0.03920432,1861.02,0.30874374
1861.04,0.03920432,1688965849568,1861.05,0.30954438,1861.02,0.30874374
1861.05,0.14834438,1688965849568,1861.05,0.16120000,1861.02,0.30874374
1861.05,0.1612,1688965849568,1861.06,0.82163928,1861.02,0.30874374
1861.06,0.38628528,1688965849568,1861.06,0.43535400,1861.02,0.30874374
1861.06,0.12853,1688965849568,1861.06,0.30682400,1861.02,0.30874374
1861.06,0.17249,1688965849568,1861.06,0.13433400,1861.02,0.30874374
1861.06,0.134334,1688965849568,1861.07,123.04243198,1861.02,0.30874374
1861.07,0.67078436,1688965849568,1861.07,122.37164762,1861.02,0.30874374
1861.05,0.00481715,1688965850743,1861.05,0.63568285,1861.03,0.16120100
1861.05,0.02766712,1688965854867,1861.05,1.03459673,1861.03,0.16120100
1861.03,0.00537331,1688965858743,1861.04,0.97582053,1861.03,0.15582769
1861.02,0.00162811,1688965859047,1861.03,0.27780000,1861.02,2.56192842
1861.03,0.05115306,1688965864691,1861.03,0.50280250,1861.02,2.72312942
1861.03,0.11533747,1688965866486,1861.03,0.38746503,1861.02,2.72312942
1861.05,0.00083922,1688965867065,1861.05,0.87255651,1861.04,0.67216494
1861.05,0.01837419,1688965867339,1861.05,0.85418232,1861.04,0.67216494
1861.05,0.06394201,1688965868232,1861.05,0.79024031,1861.04,0.67216494
1861.05,0.02619726,1688965868283,1861.05,0.76404305,1861.04,0.67216494
1861.05,0.010693,1688965869271,1861.05,0.75335005,1861.04,0.83336494
1861.05,0.24736036,1688965872432,1861.05,0.50598969,1861.04,0.83336494
1861.04,0.134333,1688965872721,1861.05,0.50598969,1861.04,0.86023194
1861.04,0.26330852,1688965872721,1861.05,0.50598969,1861.04,0.59692342
1861.04,0.13777899,1688965872721,1861.05,0.50598969,1861.04,0.45914443
1861.05,0.00718683,1688965876547,1861.05,0.63313586,1861.04,0.50337199
1861.05,0.23342286,1688965881441,1861.05,0.26538000,1861.04,1.00619068
1861.05,0.16666,1688965881441,1861.05,0.09872000,1861.04,1.00619068
1861.05,0.09872,1688965881441,1861.06,0.16120000,1861.04,1.00619068
1861.06,0.1612,1688965881441,1861.07,122.37164762,1861.04,1.00619068
1861.07,5.81352006,1688965881441,1861.07,116.55812756,1861.04,1.00619068
1861.06,0.00718675,1688965882768,1861.06,0.52681325,1861.05,0.29285326
1861.06,0.07820311,1688965884332,1861.06,0.44861014,1861.05,1.84491326
1861.06,0.44861,1688965885328,1861.06,0.00000014,1861.05,30.50048679
1861.06,0.00000014,1688965885332,1861.07,116.55812756,1861.05,30.50048679
1861.07,0.90129986,1688965885332,1861.07,115.65682770,1861.05,30.50048679
1861.07,0.5,1688965885332,1861.07,115.15682770,1861.05,30.50048679
1861.07,22.25144518,1688965885332,1861.07,92.90538252,1861.05,30.50048679
1861.07,2.12138463,1688965885335,1861.07,90.78399789,1861.06,1.55206000
1861.07,35.80254791,1688965885335,1861.07,54.98144998,1861.06,1.55206000
1861.07,18.46518262,1688965885342,1861.07,36.51626736,1861.06,3.69864980
1861.07,7,1688965885342,1861.07,29.51626736,1861.06,29.50401558
1861.07,0.59377,1688965885343,1861.07,28.92249736,1861.06,29.97509710
1861.07,11.16555,1688965885374,1861.07,17.75694736,1861.06,30.51502045
1861.07,10.16728,1688965885376,1861.07,7.58966736,1861.06,30.51502045
1861.07,0.5,1688965885395,1861.07,7.08966736,1861.06,28.96296045
1861.07,3.78626256,1688965885395,1861.07,3.30340480,1861.06,28.96296045
1861.07,3.3034048,1688965885395,1861.14,1.34334573,1861.06,28.96296045
1861.14,1.34334,1688965885410,1861.14,0.00000573,1861.12,1.58999273
1861.14,0.00000573,1688965885410,1861.17,0.49591356,1861.13,0.38376232
1861.35,0.00053165,1688965886234,1861.35,0.16064435,1861.25,0.16117600
1861.34,0.05186586,1688965887111,1861.34,0.10931214,1861.25,0.16117700
1861.35,0.02659775,1688965887358,1861.35,0.13457925,1861.25,0.16117700
1861.37,0.43601298,1688965887460,1861.40,1.39000000,1861.29,1.55206000
1861.4,1.39,1688965887460,1861.44,2.19583103,1861.29,1.55206000
1861.35,0.65163516,1688965887481,1861.43,0.56000000,1861.34,2.07294943
1861.41,0.161165,1688965888508,1861.47,0.16116500,1861.40,1.09240403
1861.41,1.18198,1688965893695,1861.41,0.00000587,1861.40,2.65082255
1861.47,0.01232364,1688965894927,1861.47,0.14884136,1861.44,0.21962132
1861.46,0.00069127,1688965896982,1861.46,0.62280873,1861.45,1.65664140
1861.46,0.07160362,1688965900145,1861.46,0.55120511,1861.45,1.65664140
1861.46,0.02766712,1688965900694,1861.46,0.52353799,1861.45,1.65664140
1861.45,0.00976497,1688965903020,1861.46,0.52353799,1861.45,1.64687543
1861.46,0.00017725,1688965904696,1861.46,0.82371464,1861.45,0.22196040
1861.46,0.24528808,1688965906494,1861.46,0.73959256,1861.41,0.39365194
1861.46,0.07671228,1688965908156,1861.46,0.50171428,1861.44,0.10823069
1861.46,0.00202026,1688965908624,1861.46,0.66086102,1861.45,0.12987991
1861.38,0.01480029,1688965914902,1861.40,0.34020146,1861.38,0.22762509
1861.34,0.08242838,1688965915574,1861.36,0.56603000,1861.27,0.56000000
1861.27,0.56,1688965915577,1861.40,6.29633152,1861.26,1.80600634
1861.26,1.24600634,1688965915577,1861.40,6.29633152,1861.26,0.56000000
1861.26,0.56,1688965915577,1861.40,6.29633152,1861.23,0.80591852
1861.14,0.01336317,1688965918892,1861.14,0.14783183,1861.11,0.16119300
1861.1,0.00053173,1688965920062,1861.10,0.57172336,1861.05,0.16119400
1861.08,0.10463046,1688965922315,1861.08,0.56704773,1861.06,0.16119700
1861.08,0.00001611,1688965922340,1861.08,0.56703162,1861.06,0.16119700
1861.09,0.00064127,1688965923287,1861.09,0.69226452,1861.08,0.00084628
1861.09,0.10637155,1688965924931,1861.09,2.13795297,1861.08,0.00084628
1861.09,0.00053173,1688965925242,1861.09,2.13742124,1861.08,0.00084628
1861.09,0.00105979,1688965925376,1861.09,2.13636145,1861.08,0.00084628
1861.09,0.26194466,1688965925425,1861.09,1.87441679,1861.08,0.00084628
1861.09,0.00084628,1688965925755,1861.09,1.87357051,1861.08,0.00084628
1861.12,0.02373515,1688965929843,1861.13,0.72050000,1861.12,3.44017421
1861.13,0.7205,1688965930867,1861.20,1.34330242,1861.12,3.44017421
1861.2,1.34330242,1688965930871,1861.35,2.31978879,1861.12,1.88811421
1861.32,0.00145687,1688965931525,1861.32,0.15972213,1861.31,1.55206000
1861.34,0.00053166,1688965933383,1861.34,0.49346834,1861.33,1.58907500
